Date,Time,Sensor,TempC
2018-03-31,23:20:01,Chris's Sensor,22.5
2018-03-31,23:21:01,Chris's Sensor,22.5
2018-03-31,23:22:01,Chris's Sensor,22.5
2018-03-31,23:23:01,Chris's Sensor,22.5
2018-03-31,23:24:01,Chris's Sensor,22.5
2018-03-31,23:25:01,Chris's Sensor,22.5
2018-03-31,23:26:01,Chris's Sensor,22.437
2018-03-31,23:27:01,Chris's Sensor,22.437
2018-03-31,23:28:01,Chris's Sensor,22.437
2018-03-31,23:29:01,Chris's Sensor,22.437
2018-03-31,23:30:01,Chris's Sensor,22.375
2018-03-31,23:31:02,Chris's Sensor,22.375
2018-03-31,23:32:02,Chris's Sensor,22.375
2018-03-31,23:33:01,Chris's Sensor,22.312
2018-03-31,23:34:01,Chris's Sensor,22.312
2018-03-31,23:35:01,Chris's Sensor,22.375
2018-03-31,23:36:01,Chris's Sensor,22.375
2018-03-31,23:37:01,Chris's Sensor,22.375
2018-03-31,23:38:01,Chris's Sensor,22.375
2018-03-31,23:39:01,Chris's Sensor,22.375
2018-03-31,23:40:01,Chris's Sensor,22.312
2018-03-31,23:41:01,Chris's Sensor,22.312
2018-03-31,23:42:01,Chris's Sensor,22.25
2018-03-31,23:43:01,Chris's Sensor,22.25
2018-03-31,23:44:01,Chris's Sensor,22.187
2018-03-31,23:45:01,Chris's Sensor,22.125
2018-03-31,23:46:01,Chris's Sensor,22.0
2018-03-31,23:47:02,Chris's Sensor,21.937
2018-03-31,23:48:01,Chris's Sensor,21.875
2018-03-31,23:49:01,Chris's Sensor,21.625
2018-03-31,23:50:01,Chris's Sensor,21.687
2018-03-31,23:51:01,Chris's Sensor,21.625
2018-03-31,23:52:01,Chris's Sensor,21.687
2018-03-31,23:53:01,Chris's Sensor,21.625
2018-03-31,23:54:01,Chris's Sensor,21.625
2018-03-31,23:55:01,Chris's Sensor,21.625
2018-03-31,23:56:01,Chris's Sensor,21.625
2018-03-31,23:57:01,Chris's Sensor,21.562
2018-03-31,23:58:01,Chris's Sensor,21.5
2018-03-31,23:59:01,Chris's Sensor,21.375
2018-04-01,00:00:02,Chris's Sensor,21.25
2018-04-01,00:01:01,Chris's Sensor,21.25
2018-04-01,00:02:01,Chris's Sensor,21.25
2018-04-01,00:03:01,Chris's Sensor,21.062
2018-04-01,00:04:01,Chris's Sensor,21.187
2018-04-01,00:05:01,Chris's Sensor,21.25
2018-04-01,00:06:01,Chris's Sensor,21.25
2018-04-01,00:07:01,Chris's Sensor,21.312
2018-04-01,00:08:02,Chris's Sensor,21.312
2018-04-01,00:09:02,Chris's Sensor,21.312
2018-04-01,00:10:02,Chris's Sensor,21.312
2018-04-01,00:11:01,Chris's Sensor,21.25
2018-04-01,00:12:01,Chris's Sensor,21.312
2018-04-01,00:13:01,Chris's Sensor,21.312
2018-04-01,00:14:01,Chris's Sensor,21.312
2018-04-01,00:15:01,Chris's Sensor,21.312
2018-04-01,00:16:01,Chris's Sensor,21.25
2018-04-01,00:17:01,Chris's Sensor,21.25
2018-04-01,00:18:01,Chris's Sensor,21.187
